unique_id,ds,cutoff,NHITS_1,NHITS_6,NHITS_7,NHITS_12,NHITS_17,NHITS_18,NHITS_23,NHITS_24,NHITS_29,NHITS_36,NHITS_43,NHITS_98,y,SeasonalNaive,WindowAverage,dataset
m1,2022-06-01,2022-05-01,1831.0345,1812.258,1800.2806,1930.2095,1693.0667,1828.9071,1770.7435,1715.7283,1713.0299,1773.4067,1809.6818,1685.9187,1772.84,1699.6451,3209.8674,Tourism
m1,2022-07-01,2022-05-01,1782.8767,2577.1003,2654.3452,2557.0483,2153.2634,2012.4697,2105.6262,2157.1833,2035.7554,2109.5454,2149.7798,2189.3325,2049.565,1979.1052,3209.8674,Tourism
m1,2022-08-01,2022-05-01,1796.9332,3624.338,4115.6006,3118.3193,3013.8025,2935.7754,2680.0103,2768.6504,2621.415,2789.6594,2954.0034,2491.3086,2932.265,2824.26,3209.8674,Tourism
m1,2022-09-01,2022-05-01,1770.0758,4437.2705,5316.0513,3233.798,3299.1055,3332.3347,3055.4966,3129.691,3050.0115,2986.8093,3198.1218,2865.6562,3113.255,3076.505,3209.8674,Tourism
m1,2022-10-01,2022-05-01,1747.8485,4667.817,5434.1934,3750.6694,3637.1992,3765.9397,3505.541,3677.7559,3702.1038,3593.349,3735.783,3459.5098,3461.505,3402.585,3209.8674,Tourism
m1,2022-11-01,2022-05-01,1736.9938,5805.5254,6428.0527,6108.333,5901.07,6086.3726,5950.603,6235.9517,5987.7666,6039.5244,6165.414,5959.3105,6265.74,5985.83,3209.8674,Tourism
m1,2022-12-01,2022-05-01,1727.4641,6859.961,6438.825,6953.4805,6831.338,6609.169,6623.098,6853.635,6535.612,6608.671,6763.0405,6558.5854,6857.8,6611.115,3209.8674,Tourism
m1,2023-01-01,2022-05-01,1768.921,4128.6377,4229.971,3996.8728,4036.8694,4058.4968,4037.8894,4108.192,4177.6304,3994.28,4184.6577,4152.2075,4346.09,4150.2393,3209.8674,Tourism
m1,2023-02-01,2022-05-01,1803.5146,2733.205,2816.5286,2871.6895,2780.247,2866.5776,2793.6401,3030.7454,3004.6753,2940.4966,3060.3945,2978.7646,3154.73,2841.0,3209.8674,Tourism
m1,2023-03-01,2022-05-01,1821.4763,1965.5104,1996.0721,2201.2798,1913.8999,1979.0347,1907.5177,2126.6316,2079.5679,1895.4209,2314.6567,1822.3466,2142.21,1813.44,3209.8674,Tourism
m1,2023-04-01,2022-05-01,1892.2437,2129.9424,2346.0813,2200.3728,2165.0886,2211.9736,2142.577,2196.5845,2262.935,2161.7217,2379.17,2052.7063,2375.725,2261.08,3209.8674,Tourism
m1,2023-05-01,2022-05-01,1972.7101,1978.265,2096.401,1982.6649,1999.1826,1975.7451,2067.045,1908.767,1990.7367,1999.6211,1932.171,2043.7694,1981.11,1873.605,3209.8674,Tourism
m1,2023-06-01,2022-05-01,1915.4902,2008.008,2015.1262,2041.4674,1831.3503,1878.0616,1854.1862,1924.4147,1828.1686,1803.3766,1801.8015,1628.2832,1959.865,1699.6451,3209.8674,Tourism
m1,2023-07-01,2022-05-01,1874.0356,2972.9446,2789.5854,2631.9707,2212.4956,2158.1365,2252.372,2362.1467,2179.826,2255.1877,2391.365,2345.8586,2466.31,1979.1052,3209.8674,Tourism
m1,2023-08-01,2022-05-01,1866.1686,3984.5317,4254.2056,3281.636,2977.9255,3090.69,2856.4868,2944.0386,2792.4915,2830.9658,3059.723,2783.212,2851.715,2824.26,3209.8674,Tourism
m1,2023-09-01,2022-05-01,1838.1588,4728.2705,5473.1436,3643.3828,3401.0398,3599.7114,3239.8435,3356.6465,3275.679,3169.5295,3309.296,3275.797,3671.805,3076.505,3209.8674,Tourism
m1,2023-10-01,2022-05-01,1824.1462,5077.755,5444.457,4054.9736,3853.078,3973.784,3689.4556,3958.4458,3791.6948,3747.9087,3785.5637,3790.48,3806.78,3402.585,3209.8674,Tourism
m1,2023-11-01,2022-05-01,1795.4885,6082.601,6648.2656,6337.74,6229.0933,6213.911,6117.6636,6483.384,6134.9067,6205.7197,6333.5503,6119.797,6995.05,5985.83,3209.8674,Tourism
m10,2022-06-01,2022-05-01,28824.076,29157.281,31184.488,32243.566,32546.309,31744.424,31209.885,28693.348,37060.78,33650.152,35471.69,29088.84,28405.0,27917.0,30967.5,Tourism
m10,2022-07-01,2022-05-01,28049.506,28391.045,33541.39,33969.098,32863.527,31691.64,33064.367,32784.55,37960.926,36099.316,35702.062,32368.654,25474.0,27909.0,30967.5,Tourism
m10,2022-08-01,2022-05-01,28274.732,25422.85,30223.006,32886.355,32153.684,31160.717,32573.87,32222.217,37646.645,35636.03,36153.867,32668.318,29863.0,27280.0,30967.5,Tourism
m10,2022-09-01,2022-05-01,27845.598,22959.447,26887.768,37326.906,37075.992,37022.184,36566.418,36106.56,39260.594,39918.832,39931.793,33872.69,40207.0,34167.0,30967.5,Tourism
m10,2022-10-01,2022-05-01,27489.527,23240.035,31395.11,33997.082,33687.824,32953.76,34178.086,33177.953,37397.72,36895.984,35753.223,31702.723,35064.0,29644.0,30967.5,Tourism
m10,2022-11-01,2022-05-01,27317.209,26627.924,35270.94,37899.848,35865.95,35291.71,37358.305,36731.43,42552.715,41361.324,40281.473,31026.262,40463.0,33120.0,30967.5,Tourism
m10,2022-12-01,2022-05-01,27164.021,25452.236,26890.768,29218.426,28066.568,27625.707,27012.357,28048.764,31713.596,32885.168,32663.93,25491.398,28043.0,24135.0,30967.5,Tourism
m10,2023-01-01,2022-05-01,27825.08,31357.127,30350.242,32387.89,30394.266,30232.822,31414.762,31188.508,38522.617,35191.26,37233.85,26049.084,31437.0,28869.0,30967.5,Tourism
m10,2023-02-01,2022-05-01,28375.879,37587.38,35676.75,37374.48,36245.508,36050.76,37120.43,36593.113,44845.07,40951.934,43925.574,30250.135,39736.0,33975.0,30967.5,Tourism
m10,2023-03-01,2022-05-01,28659.016,38623.082,37979.754,39664.57,38141.9,37614.79,37963.87,38248.05,40721.742,37719.184,42321.58,30195.08,47661.0,34869.0,30967.5,Tourism
m10,2023-04-01,2022-05-01,29786.762,43243.535,43848.668,44311.492,41344.5,40794.926,38575.703,38970.156,41764.215,39207.445,43045.832,31229.41,50590.0,40199.0,30967.5,Tourism
m10,2023-05-01,2022-05-01,31073.889,32623.135,31633.89,33173.137,32406.193,32051.418,33704.855,32544.127,33354.785,33020.98,33933.414,28919.346,37780.0,29526.0,30967.5,Tourism
m10,2023-06-01,2022-05-01,30156.693,30979.836,34348.973,34868.38,34573.348,33295.562,34699.59,31308.863,39825.1,36368.566,37501.133,28880.35,31373.0,27917.0,30967.5,Tourism
m10,2023-07-01,2022-05-01,29493.424,30230.832,35342.59,35828.336,34050.33,33017.895,35984.51,35689.246,41270.21,39147.258,38050.35,30499.572,32064.0,27909.0,30967.5,Tourism
m10,2023-08-01,2022-05-01,29370.55,26609.54,32086.12,35095.105,34847.91,32920.492,35475.57,35604.734,40054.887,37592.383,38439.08,30247.678,32145.0,27280.0,30967.5,Tourism
m10,2023-09-01,2022-05-01,28921.105,24837.541,27536.438,38531.883,39520.42,38103.543,39620.57,39198.223,42251.598,43191.234,43325.78,31791.383,40353.0,34167.0,30967.5,Tourism
m10,2023-10-01,2022-05-01,28696.758,26162.023,34062.066,36480.36,37470.004,35218.117,37344.816,36277.926,40783.51,39042.223,40261.895,29725.36,38108.0,29644.0,30967.5,Tourism
m10,2023-11-01,2022-05-01,28241.203,28371.166,36187.867,39344.867,38416.336,36112.426,40906.992,39575.414,44897.477,43404.63,44151.363,29555.527,44751.0,33120.0,30967.5,Tourism
