unique_id,ds,cutoff,NHITS_1,NHITS_2,NHITS_3,NHITS_6,NHITS_12,NHITS_18,NHITS_24,NHITS_36,NHITS_48,NHITS_60,NHITS_90,NHITS_120,y,SeasonalNaive,WindowAverage,dataset
m1,2022-06-01,2022-05-01,1831.0345,1885.9459,1898.2147,1812.258,1930.2095,1828.9071,1715.7283,1773.4067,1677.0283,1653.0239,1515.3787,1698.1074,1772.84,1699.6451,3209.8674,Tourism
m1,2022-07-01,2022-05-01,1782.8767,1962.2764,2029.7694,2577.1003,2557.0483,2012.4697,2157.1833,2109.5454,1988.8065,2083.872,1954.2386,2280.6484,2049.565,1979.1052,3209.8674,Tourism
m1,2022-08-01,2022-05-01,1796.9332,1912.3871,1825.5033,3624.338,3118.3193,2935.7754,2768.6504,2789.6594,2699.8687,2825.325,2660.7656,2901.375,2932.265,2824.26,3209.8674,Tourism
m1,2022-09-01,2022-05-01,1770.0758,1854.6462,1697.4017,4437.2705,3233.798,3332.3347,3129.691,2986.8093,2919.3274,2908.1584,3048.8967,3203.0256,3113.255,3076.505,3209.8674,Tourism
m1,2022-10-01,2022-05-01,1747.8485,1887.3915,1847.2521,4667.817,3750.6694,3765.9397,3677.7559,3593.349,3659.0193,3635.8596,3598.1016,3755.8904,3461.505,3402.585,3209.8674,Tourism
m1,2022-11-01,2022-05-01,1736.9938,2027.9182,1976.7015,5805.5254,6108.333,6086.3726,6235.9517,6039.5244,6355.2314,6758.336,6130.4688,6139.2207,6265.74,5985.83,3209.8674,Tourism
m1,2022-12-01,2022-05-01,1727.4641,2052.3254,1908.8927,6859.961,6953.4805,6609.169,6853.635,6608.671,6900.916,7185.051,6600.427,6620.496,6857.8,6611.115,3209.8674,Tourism
m1,2023-01-01,2022-05-01,1768.921,2113.9539,1951.4003,4128.6377,3996.8728,4058.4968,4108.192,3994.28,4296.1895,4443.79,4216.2964,4326.162,4346.09,4150.2393,3209.8674,Tourism
m1,2023-02-01,2022-05-01,1803.5146,2106.2083,1926.9115,2733.205,2871.6895,2866.5776,3030.7454,2940.4966,3149.2327,3234.4868,2915.502,2998.1934,3154.73,2841.0,3209.8674,Tourism
m1,2023-03-01,2022-05-01,1821.4763,2262.9258,2001.5898,1965.5104,2201.2798,1979.0347,2126.6316,1895.4209,2116.0598,2386.4392,1998.5417,1891.6289,2142.21,1813.44,3209.8674,Tourism
m1,2023-04-01,2022-05-01,1892.2437,2426.079,2376.4133,2129.9424,2200.3728,2211.9736,2196.5845,2161.7217,2148.6042,2301.8503,2049.343,2054.7683,2375.725,2261.08,3209.8674,Tourism
m1,2023-05-01,2022-05-01,1972.7101,1999.1301,1982.1083,1978.265,1982.6649,1975.7451,1908.767,1999.6211,2087.2283,1961.5627,1982.8059,2034.337,1981.11,1873.605,3209.8674,Tourism
m1,2023-06-01,2022-05-01,1915.4902,1956.5979,1961.204,2008.008,2041.4674,1878.0616,1924.4147,1803.3766,1833.0094,1830.3894,1654.7764,1711.8656,1959.865,1699.6451,3209.8674,Tourism
m1,2023-07-01,2022-05-01,1874.0356,2057.7827,2091.5137,2972.9446,2631.9707,2158.1365,2362.1467,2255.1877,2156.9495,2327.5684,2143.8171,2399.3276,2466.31,1979.1052,3209.8674,Tourism
m1,2023-08-01,2022-05-01,1866.1686,1986.8463,1874.5724,3984.5317,3281.636,3090.69,2944.0386,2830.9658,2832.919,3017.083,2803.978,2915.3477,2851.715,2824.26,3209.8674,Tourism
m1,2023-09-01,2022-05-01,1838.1588,1919.4282,1769.7009,4728.2705,3643.3828,3599.7114,3356.6465,3169.5295,3077.3735,3246.731,3179.1887,3293.8926,3671.805,3076.505,3209.8674,Tourism
m1,2023-10-01,2022-05-01,1824.1462,1973.9415,1899.2676,5077.755,4054.9736,3973.784,3958.4458,3747.9087,3767.878,3840.3997,3698.8623,3888.863,3806.78,3402.585,3209.8674,Tourism
m1,2023-11-01,2022-05-01,1795.4885,2104.0022,2011.8982,6082.601,6337.74,6213.911,6483.384,6205.7197,6598.3633,6951.4985,6226.2393,6300.972,6995.05,5985.83,3209.8674,Tourism
m10,2022-06-01,2022-05-01,28824.076,29597.145,30467.354,29157.281,32243.566,31744.424,28693.348,33650.152,33378.04,33653.695,30636.75,29249.816,28405.0,27917.0,30967.5,Tourism
m10,2022-07-01,2022-05-01,28049.506,31484.959,31705.684,28391.045,33969.098,31691.64,32784.55,36099.316,37751.95,38136.316,35996.625,32701.096,25474.0,27909.0,30967.5,Tourism
m10,2022-08-01,2022-05-01,28274.732,30104.191,29597.436,25422.85,32886.355,31160.717,32222.217,35636.03,38325.008,38733.61,37992.7,32186.715,29863.0,27280.0,30967.5,Tourism
m10,2022-09-01,2022-05-01,27845.598,28628.0,26972.246,22959.447,37326.906,37022.184,36106.56,39918.832,40055.805,42386.13,40215.492,34593.062,40207.0,34167.0,30967.5,Tourism
m10,2022-10-01,2022-05-01,27489.527,29667.822,28468.39,23240.035,33997.082,32953.76,33177.953,36895.984,38575.902,41911.195,37378.562,30477.281,35064.0,29644.0,30967.5,Tourism
m10,2022-11-01,2022-05-01,27317.209,33131.938,32256.926,26627.924,37899.848,35291.71,36731.43,41361.324,42344.977,45776.992,41001.08,30058.85,40463.0,33120.0,30967.5,Tourism
m10,2022-12-01,2022-05-01,27164.021,33900.367,32099.307,25452.236,29218.426,27625.707,28048.764,32885.168,33317.598,34171.57,36966.957,25824.562,28043.0,24135.0,30967.5,Tourism
m10,2023-01-01,2022-05-01,27825.08,35449.645,33836.945,31357.127,32387.89,30232.822,31188.508,35191.26,37011.234,39682.766,36681.3,25372.607,31437.0,28869.0,30967.5,Tourism
m10,2023-02-01,2022-05-01,28375.879,35160.254,34528.746,37587.38,37374.48,36050.76,36593.113,40951.934,46099.566,45177.39,42279.15,29997.648,39736.0,33975.0,30967.5,Tourism
m10,2023-03-01,2022-05-01,28659.016,38672.715,37547.848,38623.082,39664.57,37614.79,38248.05,37719.184,43469.445,44313.82,44443.258,31760.875,47661.0,34869.0,30967.5,Tourism
m10,2023-04-01,2022-05-01,29786.762,42565.742,42308.47,43243.535,44311.492,40794.926,38970.156,39207.445,41541.8,45682.727,43857.023,31971.21,50590.0,40199.0,30967.5,Tourism
m10,2023-05-01,2022-05-01,31073.889,31882.225,31978.58,32623.135,33173.137,32051.418,32544.127,33020.98,33699.492,36217.082,37838.29,29037.742,37780.0,29526.0,30967.5,Tourism
m10,2023-06-01,2022-05-01,30156.693,30731.29,30981.148,30979.836,34868.38,33295.562,31308.863,36368.566,36299.73,39996.91,37743.766,28915.879,31373.0,27917.0,30967.5,Tourism
m10,2023-07-01,2022-05-01,29493.424,33266.91,33645.37,30230.832,35828.336,33017.895,35689.246,39147.258,41537.633,44856.93,43881.457,31962.5,32064.0,27909.0,30967.5,Tourism
m10,2023-08-01,2022-05-01,29370.55,31432.207,31112.611,26609.54,35095.105,32920.492,35604.734,37592.383,40543.438,43879.977,45181.83,30452.303,32145.0,27280.0,30967.5,Tourism
m10,2023-09-01,2022-05-01,28921.105,29519.078,28602.78,24837.541,38531.883,38103.543,39198.223,43191.234,43302.965,46918.258,47046.387,33081.926,40353.0,34167.0,30967.5,Tourism
m10,2023-10-01,2022-05-01,28696.758,31118.19,29988.393,26162.023,36480.36,35218.117,36277.926,39042.223,41860.258,46814.24,42570.035,29333.03,38108.0,29644.0,30967.5,Tourism
m10,2023-11-01,2022-05-01,28241.203,34534.277,33259.547,28371.166,39344.867,36112.426,39575.414,43404.63,44633.434,50468.48,46772.613,28939.637,44751.0,33120.0,30967.5,Tourism
m100,2022-06-01,2022-05-01,2736.317,2818.537,2841.3335,4262.021,12953.477,13314.742,12250.455,12241.136,11456.629,12308.623,11076.02,11498.231,6329.0,14719.0,5113.9165,Tourism
m100,2022-07-01,2022-05-01,2663.797,2926.7627,2869.9146,3583.6492,8977.141,10237.02,10709.895,10616.535,11532.639,10270.646,10720.999,10686.388,13828.0,10062.0,5113.9165,Tourism
m100,2022-08-01,2022-05-01,2684.9355,2857.6667,2854.136,3017.0015,4424.8237,3678.2944,3842.5107,4432.0923,3455.1758,4193.4165,4515.207,3090.454,4275.0,3497.0,5113.9165,Tourism
m100,2022-09-01,2022-05-01,2644.5867,2776.7493,2771.9426,4186.8984,4380.3896,3353.3071,3205.3538,3698.5618,2851.58,3458.0955,3865.7483,2865.5552,2727.0,2384.0,5113.9165,Tourism
m100,2022-10-01,2022-05-01,2611.163,2820.4155,2760.2273,4133.8037,2756.9343,3003.3018,3108.887,2842.7502,2688.3374,2950.6113,2917.6836,3299.4998,2627.0,1851.0,5113.9165,Tourism
m100,2022-11-01,2022-05-01,2594.8933,3018.5254,2937.1326,5777.358,2866.0122,4265.0986,3548.2197,3355.4731,4106.548,3847.9941,3549.1443,3840.725,2623.0,2122.0,5113.9165,Tourism
m100,2022-12-01,2022-05-01,2580.5457,3052.255,3019.5862,12512.781,11231.346,12776.926,13014.889,11749.808,13619.695,13327.533,11907.021,11118.956,11784.0,11455.0,5113.9165,Tourism
m100,2023-01-01,2022-05-01,2642.7822,3139.3525,3091.848,3428.9983,4008.5017,4108.935,3854.9375,4063.219,4834.424,5092.886,5038.815,4807.198,4556.0,3441.0,5113.9165,Tourism
m100,2023-02-01,2022-05-01,2694.6882,3129.751,3119.8013,3164.737,3040.5312,3588.444,4196.5176,3644.7498,4567.545,4149.1094,3539.5098,3213.1472,2710.0,2568.0,5113.9165,Tourism
m100,2023-03-01,2022-05-01,2721.543,3355.2283,3367.4255,3859.1343,3874.514,3820.3862,4420.1377,4443.6567,4794.7983,4976.2524,5066.505,3853.4185,3434.0,3117.0,5113.9165,Tourism
m100,2023-04-01,2022-05-01,2827.7585,3588.2212,3533.205,3739.2485,3532.1448,4486.753,4111.786,4382.8726,4568.513,5115.661,4800.1567,4092.8484,3817.0,3350.0,5113.9165,Tourism
m100,2023-05-01,2022-05-01,2948.693,2984.8076,2996.1492,3343.4177,4191.332,3840.912,4110.169,4206.261,4450.561,4258.3564,4228.937,4343.052,3214.0,2801.0,5113.9165,Tourism
m100,2023-06-01,2022-05-01,2862.6318,2925.0073,2919.3738,4591.5635,13767.7295,13865.692,13245.893,13487.252,12636.044,15025.378,12944.561,13454.703,8949.0,14719.0,5113.9165,Tourism
m100,2023-07-01,2022-05-01,2800.323,3066.7727,3021.2368,4232.1475,10157.111,10629.919,11800.676,11867.318,12805.369,12459.516,12503.666,12158.593,12482.0,10062.0,5113.9165,Tourism
m100,2023-08-01,2022-05-01,2788.5994,2967.333,2978.2249,3102.6409,5643.0195,4116.5244,4324.714,5211.0264,4685.527,5656.0083,5258.0767,4072.2122,7061.0,3497.0,5113.9165,Tourism
m100,2023-09-01,2022-05-01,2746.4558,2874.826,2879.4521,4300.818,4633.3213,4159.652,3961.4531,4856.213,3931.9883,4645.405,4135.9673,2960.687,3418.0,2384.0,5113.9165,Tourism
m100,2023-10-01,2022-05-01,2725.389,2949.4817,2920.2568,4159.8413,3590.7666,3593.9292,3828.886,3523.5034,3222.6904,3532.9055,2628.327,2929.9575,2524.0,1851.0,5113.9165,Tourism
m100,2023-11-01,2022-05-01,2682.4143,3130.158,3039.4624,6196.1875,4184.039,4640.1074,3622.3867,3882.248,4561.6123,4644.34,3502.0068,3143.4026,2808.0,2122.0,5113.9165,Tourism
m101,2022-06-01,2022-05-01,2633.8206,2711.9111,2843.3254,3209.5388,3723.7578,3689.8606,3793.0176,3700.3777,3816.1523,3715.0063,3566.1975,3747.0354,3925.0,3874.0,3144.9167,Tourism
m101,2022-07-01,2022-05-01,2564.0588,2757.5342,2803.742,3429.7266,4431.74,4258.1113,4459.7188,4332.8057,4288.912,4230.1094,4302.0796,4213.427,5346.0,4487.0,3144.9167,Tourism
m101,2022-08-01,2022-05-01,2584.3955,2715.5293,2896.9583,3394.2412,3460.7178,3372.951,3367.8496,3453.3074,3269.1199,3465.7007,3491.2969,3262.5344,5309.0,3631.0,3144.9167,Tourism
m101,2022-09-01,2022-05-01,2545.5742,2725.8804,2918.7393,3690.1797,2692.0745,2612.333,3016.9336,2843.6262,2983.3604,2967.5833,3049.2546,3071.6594,2894.0,2355.0,3144.9167,Tourism
